語句,単元名,意味
Nice to meet you.,連,はじめまして。
Good morning.,連,おはようございます。
I’m,短,I am
call,動,…を（～と）呼ぶ、名づける
South Africa,名,南アフリカ共和国
love,動,…が大好きである、…を愛している
Call me ....,連,私を…と呼んでください。
want to,連,…したい
fan,名,ファン
often,副,しばしば、よく
with,前,【共同・同伴】…といっしょに
but,接,しかし、けれども
don’t,短,do not
draw,動,（線画）をかく
an,冠,1つの、1人の［母音で始まる数えられる名詞の前に置く。ふつう訳さない］
anime,名,（日本の）アニメ
so,接,だから、それで、では
about,前,…について、…に関する
lesson,名,授業、レッスン
How about you?,連,あなたはどうですか。
class,名,学級、組、クラス
our,代,私たちの
Canada,名,カナダ
America,名,アメリカ（合衆国）［正式名称はthe United States of America］
be good at (...ing),連,（…することが）じょうずだ、得意だ
he’s,短,he is
she’s,短,she is
Chinese,形,中国の
cannot,助,…できない
some,形,いくつかの、いくらかの、少しの
parent,名,親、［parentsで］親たち、両親
China,名,中国
I see.,連,なるほど。わかった。
that’s,短,that is
can’t,短,cannot
excuse,動,…を許す
oops,間,おっと、うわっ、しまった
here,副,さあ、ほら
welcome,形,歓迎される
Excuse me.,連,すみません。失礼ですが。
Here you are. ,連,はい、どうぞ。
Thank you.,連,ありがとう。
You’re welcome.,連,どういたしまして。
you’re,短,you are
it’s,短,it is
symbol,名,シンボル、象徴、記号
for,前,【代理・代表】…のかわりに、…に相当する
interesting,形,おもしろい、興味深い
favorite,形,いちばん好きな、お気に入りの
character,名,登場人物
also,副,…もまた、そのうえ
what’s,短,what is
who’s,短,who is
around,前,…の近くに
after,前,…のあとに［で］
online,副,オンラインで
after school,連,放課後（に）
here,名,ここ
hallway,名,ろうか
win,動,（…に）勝つ
next,形,次の、今度の、となりの
luck,名,運、幸運
near,前,…の近くに［で］
Good luck.,連,幸運を祈ります。がんばって。
when’s,短,when is
where’s,短,where is
fourth,名/形,4日、4番め（の）
fifth,名/形,5日、5番め（の）
sixth,名/形,6日、6番め（の）
seventh,名/形,7日、7番め（の）
eighth,名/形,8日、8番め（の）
ninth,名/形,9日、9番め（の）
tenth,名/形,10日、10番め（の）
eleventh,名/形,11日、11番め（の）
twelfth,名/形,12日、12番め（の）
thirteenth,名/形,13日、13番め（の）
fourteenth,名/形,14日、14番め（の）
fifteenth,名/形,15日、15番め（の）
sixteenth,名/形,16日、16番め（の）
seventeenth,名/形,17日、17番め（の）
eighteenth,名/形,18日、18番め（の）
nineteenth,名/形,19日、19番め（の）
twentieth,名/形,20日、20番め（の）
thirtieth,名/形,30日、30番め（の）
New Zealand,名,ニュージーランド
puppy,名,子イヌ
of,前,【部分】…の中の［で］、…の
someday,副,いつか
lot,名,［a lotまたはlotsで］たくさん
they,代,彼らは［が］、彼女らは［が］、それらは［が］
one of,連,…の1つ［1人］
a lot of,連,たくさんの、多数の
How many ...?,連,どれくらい多くの、いくつの
they’re,短,they are
of,前,【分量・種類】…の量の、…種類の
so,副,とても、非常に
noon,名,正午、真昼
last,形,最後の、最終の
like,前,…のような［に］、…に似た、…らしい
o’clock,副,…時
Sounds ....,連,…そうですね。
class,名,授業
front,名,前、正面
be,動,…である、…になる
nervous,形,緊張して
worry,動,心配する、悩む
yourself,代,あなた自身を［に］
