Letters,1,2,3,4,5,6,7,8,9,10,11
,a,AI,act,also,about,abroad,against,accident,according,attractive,Afghanistan
,I,am,age,area,above,accept,Alaskan,activity,afternoon,Azerbaijan,calligraphy
,,an,ago,aunt,actor,across,already,actually,animation,basketball,communicate
,,as,air,away,after,action,amazing,airplane,apologize,campground,convenience
,,at,all,baby,again,active,America,American,astronaut,conference,countryside
,,be,and,back,agony,advice,ancient,animated,athletics,convenient,development
,,by,any,ball,agree,affect,another,announce,attracted,countdown,effectively
,,do,are,band,album,afraid,archery,anything,Australia,definitely,electricity
,,go,arm,bath,alive,Alaska,arrived,anywhere,badminton,dictionary,environment
,,he,art,bean,alone,almost,article,aquarium,beautiful,difference,fortunately
,,hi,ask,bear,along,always,athlete,artistic,beginning,earthquake,grandfather
,,if,ate,beat,amaze,amount,avocado,audience,bookstore,eighteenth,grandmother
,,in,bad,beef,among,animal,awesome,backpack,breakfast,electronic,information
,,is,bag,been,angle,answer,barrier,baseball,callback,endangered,inspiration
,,it,ban,bell,angry,anyone,battery,bathroom,carefully,especially,instruction
,,me,bat,best,apple,anyway,because,beginner,certainly,eucalyptus,interesting
,,my,bed,bike,apply,appear,believe,behavior,challenge,evacuation,performance
,,no,big,bill,April,Arctic,besides,birthday,character,eventually,Philippines
,,of,Bob,bird,apron,around,between,broccoli,childhood,everything,reservation
,,oh,box,blog,Asian,arrest,bicycle,building,chocolate,everywhere,seventeenth
,,OK,boy,blue,baker,arrive,billion,campaign,classmate,exhibition,stomachache
,,on,bus,boat,beach,artist,braille,chemical,classroom,experience,supermarket
,,or,but,body,began,attach,British,children,cloudless,extinction,sustainable
,,so,buy,bomb,begin,attend,brother,climbing,condition,fieldtrip,traditional
,,to,bye,book,below,August,brought,colorful,dangerous,first-hand,translation
,,TV,can,born,bench,autumn,cabbage,comedian,delicious,fourteenth,Westminster
,,up,cap,both,berry,banana,camping,computer,different,functional,
,,us,car,bump,black,beauty,capture,consumer,difficult,government,
,,we,cat,burn,blend,became,careful,continue,disappear,graduation,
,,,cow,busy,blind,become,caribou,creative,dodgeball,guestbook,
,,,cry,cafe,block,before,century,cucumber,ecosystem,gymnastics,
,,,cup,cake,boots,behind,Charlie,cultural,effective,illiterate,
,,,cut,call,bored,beside,cheetah,customer,emergency,interested,
,,,dad,came,brain,better,chicken,daughter,encourage,kiwifruit,
,,,dam,camp,brave,beyond,Chinese,December,establish,mechanical,
,,,day,card,bread,bitter,citizen,decision,everyday,nineteenth,
,,,did,care,break,border,clearly,decorate,exception,originally,
,,,die,case,breed,borrow,climate,decrease,expensive,Paralympic,
,,,dog,Cebu,bring,bother,climber,delivery,fantastic,photograph,
,,,dot,chef,brown,bottle,clothes,dinosaur,fifteenth,playground,
,,,ear,city,brush,bought,collect,directly,forgetful,population,
,,,eat,club,Bugis,boxing,college,disabled,halo-halo,relatively,
,,,egg,coal,build,Brazil,comment,disagree,hamburger,researcher,
,,,end,coat,built,bridge,company,disaster,important,restaurant,
,,,era,coin,canal,bright,concert,discover,influence,simulation,
,,,eye,cold,candy,burden,connect,domestic,interview,smartphone,
,,,fan,come,canoe,camera,contact,downtown,introduce,stationery,
,,,far,cook,carry,cancer,content,dropout,invention,strawberry,
,,,few,cool,catch,candle,contest,Egyptian,Kamchatka,successful,
,,,fly,corn,chair,cannot,control,eighteen,kilometer,technology,
,,,for,cute,cheap,career,cooking,elephant,knowledge,themselves,
,,,fun,data,check,carrot,country,eleventh,necessary,thirteenth,
,,,get,date,cheer,castle,courage,employee,newspaper,tournament,
,,,got,dead,child,center,cricket,entrance,operation,translator,
,,,gym,dear,China,change,crowded,envelope,performer,understand,
,,,had,deep,class,charge,culture,everyone,pineapple,understood,
,,,has,desk,clean,cheese,curious,exchange,president,university,
,,,hat,dish,clerk,cherry,cushion,exciting,professor,videogame,
,,,her,dive,climb,choose,cycling,facility,radiation,volleyball,
,,,hey,does,clock,chorus,dancing,favorite,rainwater,watermelon,
,,,him,done,close,circle,Denmark,February,recognize,waterproof,
,,,his,door,cloth,cloudy,dentist,feedback,rectangle,well-known,
,,,hot,down,coach,coffee,dessert,festival,renewable,wheelchair,
,,,how,draw,color,colony,destroy,Filipino,scientist,wilderness,
,,,hut,drop,comic,comedy,develop,firework,selection,,
,,,ice,drum,Congo,common,diamond,follower,September,,
,,,ill,each,could,cookie,elderly,football,seventeen,,
,,,ink,earn,count,corner,English,fourteen,Singapore,,
,,,its,east,cross,couple,evening,friendly,sixteenth,,
,,,jam,easy,crowd,course,example,globally,something,,
,,,jar,else,curry,cousin,excited,Godzilla,sometimes,,
,,,jet,Emma,daily,crayon,explain,goodness,somewhere,,
,,,job,even,dance,create,feather,graduate,spaghetti,,
,,,jog,ever,David,cruise,feature,handout,surprised,,
,,,kit,face,death,damage,feeling,handrail,telephone,,
,,,law,fact,Diane,danger,fiction,headache,thirtieth,,
,,,LED,fall,drama,debate,fifteen,heritage,toothache,,
,,,leg,fast,dream,decide,finally,homestay,tradition,,
,,,let,feel,drill,depend,fishing,homework,translate,,
,,,lot,fell,drink,design,florist,Honolulu,transport,,
,,,Mac,felt,drive,detail,foolish,hospital,triathlon,,
,,,man,find,drove,device,foreign,increase,twentieth,,
,,,map,fine,early,dinner,forever,interest,universal,,
,,,May,fire,Earth,diving,forward,internet,vegetable,,
,,,Meg,fish,eight,doctor,freedom,inventor,volunteer,,
,,,men,five,enjoy,dollar,garbage,Japanese,Wednesday,,
,,,met,fold,event,donate,general,kindness,wonderful,,
,,,mix,food,every,driver,glacier,language,worldwide,,
