英語,学年,品詞,意味
page,1,名,ページ
rainbow,1,名,にじ
desert,1,名,さばく
rain forest,1,名,熱帯雨林
savanna,1,名,サバンナ
xylophone,1,名,木琴、鉄琴
mug,1,名,マグカップ
schoolyard,1,名,（学校の）運動場、校庭
evacuation drill,1,名,避難訓練
photography,1,名,写真撮影、写真術
broadcasting,1,名,放送
nephew,1,名,おい
niece,1,名,めい
midnight,1,名,夜の12時、真夜中
Nice to meet you.,1,連,はじめまして。
Good morning.,1,連,おはようございます。
I’m,1,短,I am
call,1,動,…を（～と）呼ぶ、名づける
South Africa,1,名,南アフリカ共和国
love,1,動,…が大好きである、…を愛している
Call me ....,1,連,私を…と呼んでください。
want to,1,連,…したい
fan,1,名,ファン
often,1,副,しばしば、よく
with,1,前,【共同・同伴】…といっしょに
but,1,接,しかし、けれども
don’t,1,短,do not
draw,1,動,（線画）をかく
an,1,冠,1つの、1人の［母音で始まる数えられる名詞の前に置く。ふつう訳さない］
anime,1,名,（日本の）アニメ
so,1,接,だから、それで、では
about,1,前,…について、…に関する
lesson,1,名,授業、レッスン
How about you?,1,連,あなたはどうですか。
class,1,名,学級、組、クラス
our,1,代,私たちの
Canada,1,名,カナダ
America,1,名,アメリカ（合衆国）［正式名称はthe United States of America］
be good at (...ing),1,連,（…することが）じょうずだ、得意だ
he’s,1,短,he is
she’s,1,短,she is
Chinese,1,形,中国の
cannot,1,助,…できない
some,1,形,いくつかの、いくらかの、少しの
parent,1,名,親、［parentsで］親たち、両親
China,1,名,中国
I see.,1,連,なるほど。わかった。
that’s,1,短,that is
can’t,1,短,cannot
excuse,1,動,…を許す
oops,1,間,おっと、うわっ、しまった
here,1,副,さあ、ほら
welcome,1,形,歓迎される
Excuse me.,1,連,すみません。失礼ですが。
Here you are. ,1,連,はい、どうぞ。
Thank you.,1,連,ありがとう。
You’re welcome.,1,連,どういたしまして。
you’re,1,短,you are
it’s,1,短,it is
symbol,1,名,シンボル、象徴、記号
for,1,前,【代理・代表】…のかわりに、…に相当する
interesting,1,形,おもしろい、興味深い
favorite,1,形,いちばん好きな、お気に入りの
character,1,名,登場人物
also,1,副,…もまた、そのうえ
what’s,1,短,what is
who’s,1,短,who is
around,1,前,…の近くに
after,1,前,…のあとに［で］
online,1,副,オンラインで
after school,1,連,放課後（に）
here,1,名,ここ
hallway,1,名,ろうか
win,1,動,（…に）勝つ
next,1,形,次の、今度の、となりの
luck,1,名,運、幸運
near,1,前,…の近くに［で］
Good luck.,1,連,幸運を祈ります。がんばって。
when’s,1,短,when is
where’s,1,短,where is
fourth,1,名/形,4日、4番め（の）
fifth,1,名/形,5日、5番め（の）
sixth,1,名/形,6日、6番め（の）
seventh,1,名/形,7日、7番め（の）
eighth,1,名/形,8日、8番め（の）
ninth,1,名/形,9日、9番め（の）
tenth,1,名/形,10日、10番め（の）
eleventh,1,名/形,11日、11番め（の）
twelfth,1,名/形,12日、12番め（の）
thirteenth,1,名/形,13日、13番め（の）
fourteenth,1,名/形,14日、14番め（の）
fifteenth,1,名/形,15日、15番め（の）
sixteenth,1,名/形,16日、16番め（の）
seventeenth,1,名/形,17日、17番め（の）
eighteenth,1,名/形,18日、18番め（の）
nineteenth,1,名/形,19日、19番め（の）
twentieth,1,名/形,20日、20番め（の）
thirtieth,1,名/形,30日、30番め（の）
New Zealand,1,名,ニュージーランド
puppy,1,名,子イヌ
of,1,前,【部分】…の中の［で］、…の
someday,1,副,いつか
lot,1,名,［a lotまたはlotsで］たくさん
they,1,代,彼らは［が］、彼女らは［が］、それらは［が］
one of,1,連,…の1つ［1人］
a lot of,1,連,たくさんの、多数の
How many ...?,1,連,どれくらい多くの、いくつの
they’re,1,短,they are
of,1,前,【分量・種類】…の量の、…種類の
so,1,副,とても、非常に
noon,1,名,正午、真昼
last,1,形,最後の、最終の
like,1,前,…のような［に］、…に似た、…らしい
o’clock,1,副,…時
Sounds ....,1,連,…そうですね。
class,1,名,授業
front,1,名,前、正面
be,1,動,…である、…になる
nervous,1,形,緊張して
worry,1,動,心配する、悩む
yourself,1,代,あなた自身を［に］
sheep,1,名,ヒツジ
kiwi,1,名,キーウィ［動物名］
right,1,形,正しい、正確な
enjoy oneself,1,連,楽しむ、楽しく過ごす
look at,1,連,…を見る
kiwi,1,名,キウイフルーツ（＝kiwi fruit）
poster,1,名,ポスター、広告
age,1,名,年齢
movie,1,名,映画
student,1,名,学生、生徒
much,1,副,［動詞を修飾して］おおいに、たいへん
starter,1,名,先発メンバー
famous,1,形,有名な
tell,1,動,…に（～を）話す、教える
very much,1,連,とても、たいへん
every day,1,連,毎日
favorite,1,名,大好きなもの［人］
of,1,前,【所属・所有】…の、…の所有する、…に属する
as,1,前,…として
tour,1,名,旅行、ツアー、見学
guide,1,名,ガイド、案内人
write,1,動,（…を）書く
blog,1,名,ブログ
local,1,形,（ある）地方の、地元の
beautiful,1,形,美しい
spot,1,名,地点、場所
his,1,代,彼の
... year(s) old,1,連,…歳、創立…年
enjoy ...ing,1,連,…して楽しむ
any,1,形,［疑問文などで］いくらかの、何らかの
does,1,助,［疑問文や応答を作る］
has,1,助/動,haveの三人称単数現在形
there,1,副,そこに［で、へ］
surf,1,動,サーフィン［波乗り］をする
life,1,名,生活、暮らし
doesn’t,1,短,does not
does,1,助,［否定文を作る］
cafe,1,名,喫茶店、カフェ
website,1,名,ウェブサイト
popular,1,形,人気のある
owner,1,名,所有者、持ち主
know,1,動,（…を）知っている、わかる
patty,1,名,パティ（ひき肉などを丸く平たい形にして焼いたもの）
fried,1,形,油であげた、油でいためた
top,1,名,表面、上部
wonderful,1,形,すばらしい、すてきな
fried egg ,1,連,目玉焼き
on top of,1,連,…の上に
him,1,代,彼を［に］
say,1,動,（…を）言う、…だと言う
everything,1,代,何でも、全てのもの［こと］
show,1,名,ショー
her,1,代,彼女を［に］
performer,1,名,演技者
U.K.,1,名,the U.K. 英国
together,1,副,いっしょに、ともに
Why don’t we ...?,1,連,…しませんか。
how’s,1,短,how is
for,1,前,【用途・適合】…するための、…に適した、…向けの
minute,1,名,（時間の単位の）分
wait,1,動,待つ
whose,1,代,だれの、だれのもの
yours,1,代,あなた（たち）のもの
mine,1,代,私のもの
maybe,1,副,たぶん、もしかすると
careful,1,形,注意深い
crowded,1,形,こみ合った、満員の
history,1,名,歴史
still,1,副,まだ、今でも
over,1,前,…より多く、…をこえて
(Riko)'s,1,ー,［名詞の所有格を作る］（理子）の
Thanks.,1,連,ありがとう。
be careful with,1,連,…のあつかいに気をつける
How old ...?,1,連,何歳で、作られてからどれくらいで
with,1,前,【関係・対象】…に関して、…について
here,1,副,ここに［で、へ］
cushion,1,名,クッション、ざぶとん
different,1,形,いろいろな
role,1,名,役、役割
use,1,動,…を使う、利用する、消費する
only,1,副,ただ…だけ
prop,1,名,小道具
which,1,代,どちら、どれ、どちらの人［もの］
or,1,接,…かまたは～、…や～
casual,1,形,カジュアルな、くだけた、ふだん着の
large,1,形,多い、多数の
collection,1,名,収集したもの、コレクション
for,1,前,【対象】…に対して
open,1,動,（ …を）開く、あける
close,1,動,…を閉じる、終える
window,1,名,窓
sure,1,副,［返事で］もちろん、いいとも
problem,1,名,問題
little,1,副,［a littleで］少し
dark,1,形,暗い
light,1,名,明かり、電灯
just,1,副,ただ…だけ、ほんの、ちょっと
moment,1,名,瞬間、ちょっとの間
off,1,副,（電気・ガス・水道などが）切れて、とまって
borrow,1,動,…を借りる
No problem.,1,連,いいですよ。もちろん。
a little,1,連,少し
